file_name,Name,label
file0.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file1.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file2.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file3.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file4.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file5.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file6.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file7.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file8.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file9.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file10.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file11.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file12.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file13.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file14.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file15.wav,Red-whiskered Bulbul - Pycnonotus jocosus,0
file16.wav,Great Tit - Parus major,1
file17.wav,Great Tit - Parus major,1
file18.wav,Great Tit - Parus major,1
file19.wav,Great Tit - Parus major,1
file20.wav,Great Tit - Parus major,1
file21.wav,Great Tit - Parus major,1
file22.wav,Great Tit - Parus major,1
file23.wav,Great Tit - Parus major,1
file24.wav,Great Tit - Parus major,1
file25.wav,Great Tit - Parus major,1
file26.wav,Great Tit - Parus major,1
file27.wav,Great Tit - Parus major,1
file28.wav,Great Tit - Parus major,1
file29.wav,Great Tit - Parus major,1
file30.wav,Great Tit - Parus major,1
file31.wav,Great Tit - Parus major,1
file32.wav,Great Tit - Parus major,1
file33.wav,Great Tit - Parus major,1
file34.wav,Great Tit - Parus major,1
file35.wav,Great Tit - Parus major,1
file36.wav,Great Tit - Parus major,1
file37.wav,Great Tit - Parus major,1
file38.wav,Great Tit - Parus major,1
file39.wav,Great Tit - Parus major,1
